Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
bfs_matrix,16:16:16,7639783,4340310,1912534,1085235,265526,261442,269421,17.579%
bfs_pointer,16:16:16,297361,132180,76933,33192,4281,5720,6973,9.081%
conv2D,16:16:16,3325479,1220578,833940,305293,9204,15012,15595,2.126%
fir,16:16:16,27163089,15053144,6793348,3763456,65614,123048,125697,1.787%
kmean,16:16:16,39450765,8338606,9865279,2084826,365689,34669,38294,3.350%
mm,16:16:16,8399467,4416818,2102419,1104347,356305,24446,25248,11.873%
quicksort,16:16:16,12497859,12511653,3128446,3131433,153550,112980,199451,4.258%
sobel,16:16:16,5781465,2145012,1818292,538346,18819,40213,41231,2.505%
bfs_matrix,32:16:16,7639783,4340310,1912534,1085235,261400,258715,264172,17.350%
bfs_pointer,32:16:16,297361,132180,76933,33192,3440,5523,6501,8.139%
conv2D,32:16:16,3325479,1220578,833940,305293,6203,13170,13408,1.701%
fir,32:16:16,27163089,15053144,6793348,3763456,52581,112148,113942,1.560%
kmean,32:16:16,39450765,8338606,9865279,2084826,359994,31686,33583,3.278%
mm,32:16:16,8399467,4416818,2102419,1104347,289529,21903,22463,9.712%
quicksort,32:16:16,12497859,12511653,3128446,3131433,117999,91194,158371,3.342%
sobel,32:16:16,5781465,2145012,1818292,538346,14586,37101,37556,2.193%
bfs_matrix,64:16:16,7639783,4340310,1912534,1085235,258329,256761,260309,17.182%
bfs_pointer,64:16:16,297361,132180,76933,33192,2587,5373,5944,7.228%
conv2D,64:16:16,3325479,1220578,833940,305293,4217,11547,11310,1.384%
fir,64:16:16,27163089,15053144,6793348,3763456,42233,105592,106142,1.400%
kmean,64:16:16,39450765,8338606,9865279,2084826,355935,30171,30740,3.231%
mm,64:16:16,8399467,4416818,2102419,1104347,243530,19628,19936,8.206%
quicksort,64:16:16,12497859,12511653,3128446,3131433,87684,73338,124658,2.572%
sobel,64:16:16,5781465,2145012,1818292,538346,11562,35585,35270,2.001%
bfs_matrix,128:16:16,7639783,4340310,1912534,1085235,256160,255542,257780,17.069%
bfs_pointer,128:16:16,297361,132180,76933,33192,1765,5179,4601,6.306%
conv2D,128:16:16,3325479,1220578,833940,305293,3059,10751,9813,1.212%
fir,128:16:16,27163089,15053144,6793348,3763456,36420,102600,101969,1.317%
kmean,128:16:16,39450765,8338606,9865279,2084826,347367,29373,28994,3.153%
mm,128:16:16,8399467,4416818,2102419,1104347,115151,18135,18279,4.156%
quicksort,128:16:16,12497859,12511653,3128446,3131433,61514,60289,97604,1.946%
sobel,128:16:16,5781465,2145012,1818292,538346,10314,34418,33248,1.898%
bfs_matrix,256:16:16,7639783,4340310,1912534,1085235,255009,254818,256443,17.007%
bfs_pointer,256:16:16,297361,132180,76933,33192,1059,5039,2792,5.537%
conv2D,256:16:16,3325479,1220578,833940,305293,2153,10417,7785,1.103%
fir,256:16:16,27163089,15053144,6793348,3763456,33558,101200,99127,1.277%
kmean,256:16:16,39450765,8338606,9865279,2084826,283038,28644,27612,2.608%
mm,256:16:16,8399467,4416818,2102419,1104347,12229,15932,15186,0.878%
quicksort,256:16:16,12497859,12511653,3128446,3131433,37851,49640,72954,1.398%
sobel,256:16:16,5781465,2145012,1818292,538346,8399,32398,29830,1.731%
bfs_matrix,512:16:16,7639783,4340310,1912534,1085235,253850,254450,255586,16.956%
bfs_pointer,512:16:16,297361,132180,76933,33192,542,4970,1320,5.005%
conv2D,512:16:16,3325479,1220578,833940,305293,1340,10247,4937,1.017%
fir,512:16:16,27163089,15053144,6793348,3763456,32517,100861,96383,1.263%
kmean,512:16:16,39450765,8338606,9865279,2084826,37125,27030,25316,0.537%
mm,512:16:16,8399467,4416818,2102419,1104347,8675,15337,11287,0.749%
quicksort,512:16:16,12497859,12511653,3128446,3131433,18833,42894,50422,0.986%
sobel,512:16:16,5781465,2145012,1818292,538346,5097,29015,23111,1.447%
bfs_matrix,1024:16:16,7639783,4340310,1912534,1085235,252500,254217,255134,16.903%
bfs_pointer,1024:16:16,297361,132180,76933,33192,337,4936,653,4.788%
conv2D,1024:16:16,3325479,1220578,833940,305293,646,10129,2546,0.946%
fir,1024:16:16,27163089,15053144,6793348,3763456,27598,98945,89606,1.199%
kmean,1024:16:16,39450765,8338606,9865279,2084826,9394,24603,16534,0.284%
mm,1024:16:16,8399467,4416818,2102419,1104347,2807,15101,6289,0.558%
quicksort,1024:16:16,12497859,12511653,3128446,3131433,7915,39868,31462,0.763%
sobel,1024:16:16,5781465,2145012,1818292,538346,2305,25510,13555,1.180%
bfs_matrix,2048:16:16,7639783,4340310,1912534,1085235,248409,254103,254765,16.763%
bfs_pointer,2048:16:16,297361,132180,76933,33192,160,4926,264,4.618%
conv2D,2048:16:16,3325479,1220578,833940,305293,335,10093,1236,0.915%
fir,2048:16:16,27163089,15053144,6793348,3763456,16189,92027,68663,1.025%
kmean,2048:16:16,39450765,8338606,9865279,2084826,2788,22877,7151,0.215%
mm,2048:16:16,8399467,4416818,2102419,1104347,1164,14986,3061,0.504%
quicksort,2048:16:16,12497859,12511653,3128446,3131433,3280,38850,17924,0.673%
sobel,2048:16:16,5781465,2145012,1818292,538346,886,23410,6648,1.031%
bfs_matrix,4096:16:16,7639783,4340310,1912534,1085235,233879,254005,252733,16.275%
bfs_pointer,4096:16:16,297361,132180,76933,33192,79,4925,54,4.544%
conv2D,4096:16:16,3325479,1220578,833940,305293,160,10063,485,0.897%
fir,4096:16:16,27163089,15053144,6793348,3763456,6526,82438,37940,0.843%
kmean,4096:16:16,39450765,8338606,9865279,2084826,890,21850,2963,0.190%
mm,4096:16:16,8399467,4416818,2102419,1104347,522,14962,1319,0.483%
quicksort,4096:16:16,12497859,12511653,3128446,3131433,1426,38607,9163,0.640%
sobel,4096:16:16,5781465,2145012,1818292,538346,450,22442,3077,0.971%
bfs_matrix,8192:16:16,7639783,4340310,1912534,1085235,190443,253923,228432,14.823%
bfs_pointer,8192:16:16,297361,132180,76933,33192,79,4925,0,4.544%
conv2D,8192:16:16,3325479,1220578,833940,305293,79,10046,100,0.889%
fir,8192:16:16,27163089,15053144,6793348,3763456,2449,75451,17366,0.738%
kmean,8192:16:16,39450765,8338606,9865279,2084826,134,21341,1126,0.180%
mm,8192:16:16,8399467,4416818,2102419,1104347,187,14928,394,0.471%
quicksort,8192:16:16,12497859,12511653,3128446,3131433,575,38518,4341,0.625%
sobel,8192:16:16,5781465,2145012,1818292,538346,159,21815,1132,0.932%
bfs_matrix,8:16:32,7639783,4340310,1912534,1085235,137712,132421,139063,9.011%
bfs_pointer,8:16:32,297361,132180,76933,33192,3821,2965,4123,6.162%
conv2D,8:16:32,3325479,1220578,833940,305293,4884,7755,8170,1.109%
fir,8:16:32,27163089,15053144,6793348,3763456,34339,61912,64106,0.912%
kmean,8:16:32,39450765,8338606,9865279,2084826,186172,17499,20932,1.704%
mm,8:16:32,8399467,4416818,2102419,1104347,367198,14784,15371,11.912%
quicksort,8:16:32,12497859,12511653,3128446,3131433,91866,64891,117762,2.504%
sobel,8:16:32,5781465,2145012,1818292,538346,10028,20506,21300,1.296%
bfs_matrix,16:16:32,7639783,4340310,1912534,1085235,134481,130493,135087,8.839%
bfs_pointer,16:16:32,297361,132180,76933,33192,3096,2825,3819,5.377%
conv2D,16:16:32,3325479,1220578,833940,305293,3170,6653,6855,0.862%
fir,16:16:32,27163089,15053144,6793348,3763456,27542,56196,57678,0.793%
kmean,16:16:32,39450765,8338606,9865279,2084826,181748,15990,17801,1.655%
mm,16:16:32,8399467,4416818,2102419,1104347,188093,11425,11820,6.222%
quicksort,16:16:32,12497859,12511653,3128446,3131433,68177,50266,89546,1.892%
sobel,16:16:32,5781465,2145012,1818292,538346,7731,18861,19277,1.128%
bfs_matrix,32:16:32,7639783,4340310,1912534,1085235,131839,129028,131963,8.702%
bfs_pointer,32:16:32,297361,132180,76933,33192,2011,2722,3437,4.298%
conv2D,32:16:32,3325479,1220578,833940,305293,2191,5854,5794,0.706%
fir,32:16:32,27163089,15053144,6793348,3763456,21609,52868,53542,0.705%
kmean,32:16:32,39450765,8338606,9865279,2084826,178958,15178,15952,1.625%
mm,32:16:32,8399467,4416818,2102419,1104347,139087,10117,10378,4.653%
quicksort,32:16:32,12497859,12511653,3128446,3131433,49456,39485,68514,1.421%
sobel,32:16:32,5781465,2145012,1818292,538346,6091,17992,17924,1.022%
bfs_matrix,64:16:32,7639783,4340310,1912534,1085235,130335,128081,130172,8.620%
bfs_pointer,64:16:32,297361,132180,76933,33192,1100,2618,2539,3.376%
conv2D,64:16:32,3325479,1220578,833940,305293,1572,5405,4976,0.612%
fir,64:16:32,27163089,15053144,6793348,3763456,18542,51317,51183,0.662%
kmean,64:16:32,39450765,8338606,9865279,2084826,174055,14718,14775,1.580%
mm,64:16:32,8399467,4416818,2102419,1104347,62609,9166,9305,2.238%
quicksort,64:16:32,12497859,12511653,3128446,3131433,33681,31449,52020,1.040%
sobel,64:16:32,5781465,2145012,1818292,538346,5491,17364,16865,0.970%
bfs_matrix,128:16:32,7639783,4340310,1912534,1085235,129132,127590,128994,8.564%
bfs_pointer,128:16:32,297361,132180,76933,33192,574,2517,1396,2.807%
conv2D,128:16:32,3325479,1220578,833940,305293,1080,5217,3926,0.553%
fir,128:16:32,27163089,15053144,6793348,3763456,16889,50609,49635,0.639%
kmean,128:16:32,39450765,8338606,9865279,2084826,141611,14316,13910,1.305%
mm,128:16:32,8399467,4416818,2102419,1104347,6182,7988,7637,0.442%
quicksort,128:16:32,12497859,12511653,3128446,3131433,20112,25478,38219,0.728%
sobel,128:16:32,5781465,2145012,1818292,538346,4413,16360,15138,0.881%
bfs_matrix,256:16:32,7639783,4340310,1912534,1085235,128185,127311,128323,8.523%
bfs_pointer,256:16:32,297361,132180,76933,33192,311,2493,703,2.546%
conv2D,256:16:32,3325479,1220578,833940,305293,689,5106,2483,0.509%
fir,256:16:32,27163089,15053144,6793348,3763456,16421,50431,48319,0.633%
kmean,256:16:32,39450765,8338606,9865279,2084826,18768,13507,12683,0.270%
mm,256:16:32,8399467,4416818,2102419,1104347,4206,7658,5612,0.370%
quicksort,256:16:32,12497859,12511653,3128446,3131433,9543,21484,25511,0.496%
sobel,256:16:32,5781465,2145012,1818292,538346,2628,14594,11669,0.731%
bfs_matrix,512:16:32,7639783,4340310,1912534,1085235,127089,127161,127906,8.481%
bfs_pointer,512:16:32,297361,132180,76933,33192,151,2480,326,2.389%
conv2D,512:16:32,3325479,1220578,833940,305293,309,5078,1298,0.473%
fir,512:16:32,27163089,15053144,6793348,3763456,13786,49505,44824,0.600%
kmean,512:16:32,39450765,8338606,9865279,2084826,4533,12201,8043,0.140%
mm,512:16:32,8399467,4416818,2102419,1104347,1358,7543,3057,0.278%
quicksort,512:16:32,12497859,12511653,3128446,3131433,4163,19980,15926,0.386%
sobel,512:16:32,5781465,2145012,1818292,538346,1050,12711,6662,0.584%
bfs_matrix,1024:16:32,7639783,4340310,1912534,1085235,124820,127080,127570,8.403%
bfs_pointer,1024:16:32,297361,132180,76933,33192,105,2466,134,2.335%
conv2D,1024:16:32,3325479,1220578,833940,305293,170,5052,629,0.458%
fir,1024:16:32,27163089,15053144,6793348,3763456,8230,46013,34440,0.514%
kmean,1024:16:32,39450765,8338606,9865279,2084826,1450,11454,3605,0.108%
mm,1024:16:32,8399467,4416818,2102419,1104347,637,7492,1571,0.253%
quicksort,1024:16:32,12497859,12511653,3128446,3131433,1776,19461,9138,0.339%
sobel,1024:16:32,5781465,2145012,1818292,538346,501,11708,3348,0.518%
bfs_matrix,2048:16:32,7639783,4340310,1912534,1085235,117491,127003,126398,8.156%
bfs_pointer,2048:16:32,297361,132180,76933,33192,47,2465,35,2.281%
conv2D,2048:16:32,3325479,1220578,833940,305293,89,5039,243,0.450%
fir,2048:16:32,27163089,15053144,6793348,3763456,3300,41199,19013,0.422%
kmean,2048:16:32,39450765,8338606,9865279,2084826,377,10876,1380,0.094%
mm,2048:16:32,8399467,4416818,2102419,1104347,266,7475,622,0.241%
quicksort,2048:16:32,12497859,12511653,3128446,3131433,776,19311,4725,0.321%
sobel,2048:16:32,5781465,2145012,1818292,538346,209,11194,1452,0.484%
bfs_matrix,4096:16:32,7639783,4340310,1912534,1085235,95282,126964,114139,7.414%
bfs_pointer,4096:16:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,4096:16:32,3325479,1220578,833940,305293,46,5025,78,0.445%
fir,4096:16:32,27163089,15053144,6793348,3763456,1295,37690,8810,0.369%
kmean,4096:16:32,39450765,8338606,9865279,2084826,89,10623,551,0.090%
mm,4096:16:32,8399467,4416818,2102419,1104347,147,7462,290,0.237%
quicksort,4096:16:32,12497859,12511653,3128446,3131433,265,19259,2105,0.312%
sobel,4096:16:32,5781465,2145012,1818292,538346,104,10922,602,0.468%
bfs_matrix,8:32:16,7639783,4340310,1912534,1085235,265396,261517,269424,17.577%
bfs_pointer,8:32:16,297361,132180,76933,33192,4312,5734,7020,9.122%
conv2D,8:32:16,3325479,1220578,833940,305293,9245,15015,15625,2.130%
fir,8:32:16,27163089,15053144,6793348,3763456,65639,122998,125661,1.787%
kmean,8:32:16,39450765,8338606,9865279,2084826,365625,34694,38314,3.350%
mm,8:32:16,8399467,4416818,2102419,1104347,362677,24350,25199,12.069%
quicksort,8:32:16,12497859,12511653,3128446,3131433,153770,113152,199774,4.264%
sobel,8:32:16,5781465,2145012,1818292,538346,18569,40269,41311,2.497%
bfs_matrix,16:32:16,7639783,4340310,1912534,1085235,261005,258702,263931,17.336%
bfs_pointer,16:32:16,297361,132180,76933,33192,3450,5553,6544,8.175%
conv2D,16:32:16,3325479,1220578,833940,305293,6175,13129,13368,1.694%
fir,16:32:16,27163089,15053144,6793348,3763456,52546,112096,113898,1.560%
kmean,16:32:16,39450765,8338606,9865279,2084826,360023,31970,33933,3.280%
mm,16:32:16,8399467,4416818,2102419,1104347,294389,21824,22422,9.861%
quicksort,16:32:16,12497859,12511653,3128446,3131433,117758,91086,158267,3.336%
sobel,16:32:16,5781465,2145012,1818292,538346,14683,37372,37796,2.209%
bfs_matrix,32:32:16,7639783,4340310,1912534,1085235,257985,256730,260112,17.170%
bfs_pointer,32:32:16,297361,132180,76933,33192,2543,5378,5932,7.193%
conv2D,32:32:16,3325479,1220578,833940,305293,4351,11548,11312,1.396%
fir,32:32:16,27163089,15053144,6793348,3763456,43041,105920,106466,1.411%
kmean,32:32:16,39450765,8338606,9865279,2084826,356291,30251,30830,3.235%
mm,32:32:16,8399467,4416818,2102419,1104347,246614,19520,19854,8.299%
quicksort,32:32:16,12497859,12511653,3128446,3131433,88112,73875,125436,2.588%
sobel,32:32:16,5781465,2145012,1818292,538346,11691,35596,35222,2.007%
bfs_matrix,64:32:16,7639783,4340310,1912534,1085235,256093,255528,257769,17.067%
bfs_pointer,64:32:16,297361,132180,76933,33192,1732,5200,4595,6.295%
conv2D,64:32:16,3325479,1220578,833940,305293,3188,10859,9918,1.233%
fir,64:32:16,27163089,15053144,6793348,3763456,37517,103041,102397,1.331%
kmean,64:32:16,39450765,8338606,9865279,2084826,346964,29535,29137,3.151%
mm,64:32:16,8399467,4416818,2102419,1104347,117131,18315,18462,4.224%
quicksort,64:32:16,12497859,12511653,3128446,3131433,61979,60514,98055,1.957%
sobel,64:32:16,5781465,2145012,1818292,538346,10136,34520,33366,1.895%
bfs_matrix,128:32:16,7639783,4340310,1912534,1085235,254847,254820,256390,17.002%
bfs_pointer,128:32:16,297361,132180,76933,33192,1121,5043,2871,5.597%
conv2D,128:32:16,3325479,1220578,833940,305293,2076,10501,7801,1.104%
fir,128:32:16,27163089,15053144,6793348,3763456,34568,101650,99642,1.290%
kmean,128:32:16,39450765,8338606,9865279,2084826,281892,28739,27701,2.599%
mm,128:32:16,8399467,4416818,2102419,1104347,12473,16073,15283,0.890%
quicksort,128:32:16,12497859,12511653,3128446,3131433,37714,49818,73064,1.398%
sobel,128:32:16,5781465,2145012,1818292,538346,8583,32490,29962,1.743%
bfs_matrix,256:32:16,7639783,4340310,1912534,1085235,253865,254445,255582,16.956%
bfs_pointer,256:32:16,297361,132180,76933,33192,542,4970,1359,5.005%
conv2D,256:32:16,3325479,1220578,833940,305293,1248,10238,5038,1.008%
fir,256:32:16,27163089,15053144,6793348,3763456,32386,100831,96469,1.262%
kmean,256:32:16,39450765,8338606,9865279,2084826,38640,27153,25449,0.551%
mm,256:32:16,8399467,4416818,2102419,1104347,4851,15371,11017,0.631%
quicksort,256:32:16,12497859,12511653,3128446,3131433,18959,43036,50623,0.990%
sobel,256:32:16,5781465,2145012,1818292,538346,5188,29103,23221,1.455%
bfs_matrix,512:32:16,7639783,4340310,1912534,1085235,252517,254244,255166,16.905%
bfs_pointer,512:32:16,297361,132180,76933,33192,336,4954,708,4.804%
conv2D,512:32:16,3325479,1220578,833940,305293,642,10173,2683,0.949%
fir,512:32:16,27163089,15053144,6793348,3763456,27710,98917,89591,1.199%
kmean,512:32:16,39450765,8338606,9865279,2084826,9618,24523,16565,0.286%
mm,512:32:16,8399467,4416818,2102419,1104347,3059,15094,6530,0.566%
quicksort,512:32:16,12497859,12511653,3128446,3131433,8092,39900,31656,0.767%
sobel,512:32:16,5781465,2145012,1818292,538346,2226,25485,13530,1.176%
bfs_matrix,1024:32:16,7639783,4340310,1912534,1085235,248511,254109,254769,16.766%
bfs_pointer,1024:32:16,297361,132180,76933,33192,207,4935,357,4.669%
conv2D,1024:32:16,3325479,1220578,833940,305293,382,10103,1397,0.920%
fir,1024:32:16,27163089,15053144,6793348,3763456,16629,91906,68841,1.028%
kmean,1024:32:16,39450765,8338606,9865279,2084826,3262,22826,7677,0.218%
mm,1024:32:16,8399467,4416818,2102419,1104347,1221,14996,3105,0.506%
quicksort,1024:32:16,12497859,12511653,3128446,3131433,3620,38918,18457,0.680%
sobel,1024:32:16,5781465,2145012,1818292,538346,932,23543,6823,1.039%
bfs_matrix,2048:32:16,7639783,4340310,1912534,1085235,233672,254013,252702,16.268%
bfs_pointer,2048:32:16,297361,132180,76933,33192,125,4925,121,4.586%
conv2D,2048:32:16,3325479,1220578,833940,305293,180,10076,609,0.900%
fir,2048:32:16,27163089,15053144,6793348,3763456,6765,82426,38375,0.845%
kmean,2048:32:16,39450765,8338606,9865279,2084826,1100,21856,3187,0.192%
mm,2048:32:16,8399467,4416818,2102419,1104347,565,14956,1490,0.484%
quicksort,2048:32:16,12497859,12511653,3128446,3131433,1734,38608,9858,0.644%
sobel,2048:32:16,5781465,2145012,1818292,538346,421,22474,3271,0.972%
bfs_matrix,4096:32:16,7639783,4340310,1912534,1085235,190213,253926,227743,14.816%
bfs_pointer,4096:32:16,297361,132180,76933,33192,79,4925,29,4.544%
conv2D,4096:32:16,3325479,1220578,833940,305293,106,10053,221,0.892%
fir,4096:32:16,27163089,15053144,6793348,3763456,2736,75681,18228,0.743%
kmean,4096:32:16,39450765,8338606,9865279,2084826,375,21311,1381,0.181%
mm,4096:32:16,8399467,4416818,2102419,1104347,281,14934,619,0.474%
quicksort,4096:32:16,12497859,12511653,3128446,3131433,752,38521,4804,0.627%
sobel,4096:32:16,5781465,2145012,1818292,538346,221,22002,1513,0.943%
bfs_matrix,4:32:32,7639783,4340310,1912534,1085235,137380,132528,139064,9.004%
bfs_pointer,4:32:32,297361,132180,76933,33192,3797,2977,4145,6.151%
conv2D,4:32:32,3325479,1220578,833940,305293,4986,7650,8084,1.109%
fir,4:32:32,27163089,15053144,6793348,3763456,34771,62108,64219,0.918%
kmean,4:32:32,39450765,8338606,9865279,2084826,185915,17551,20992,1.703%
mm,4:32:32,8399467,4416818,2102419,1104347,376075,14601,15206,12.183%
quicksort,4:32:32,12497859,12511653,3128446,3131433,91699,64932,117791,2.502%
sobel,4:32:32,5781465,2145012,1818292,538346,9965,20503,21361,1.293%
bfs_matrix,8:32:32,7639783,4340310,1912534,1085235,134024,130370,134714,8.820%
bfs_pointer,8:32:32,297361,132180,76933,33192,3034,2861,3845,5.353%
conv2D,8:32:32,3325479,1220578,833940,305293,3291,6788,6994,0.885%
fir,8:32:32,27163089,15053144,6793348,3763456,27350,56374,57876,0.793%
kmean,8:32:32,39450765,8338606,9865279,2084826,181568,16077,17829,1.654%
mm,8:32:32,8399467,4416818,2102419,1104347,191689,11494,11890,6.336%
quicksort,8:32:32,12497859,12511653,3128446,3131433,67852,50515,89755,1.891%
sobel,8:32:32,5781465,2145012,1818292,538346,7842,18935,19376,1.136%
bfs_matrix,16:32:32,7639783,4340310,1912534,1085235,131703,128919,131824,8.694%
bfs_pointer,16:32:32,297361,132180,76933,33192,2054,2750,3481,4.362%
conv2D,16:32:32,3325479,1220578,833940,305293,2325,5906,5859,0.723%
fir,16:32:32,27163089,15053144,6793348,3763456,21949,53180,53808,0.712%
kmean,16:32:32,39450765,8338606,9865279,2084826,178756,15191,15859,1.623%
mm,16:32:32,8399467,4416818,2102419,1104347,140986,9980,10217,4.708%
quicksort,16:32:32,12497859,12511653,3128446,3131433,49415,39738,68776,1.424%
sobel,16:32:32,5781465,2145012,1818292,538346,6194,18029,17981,1.028%
bfs_matrix,32:32:32,7639783,4340310,1912534,1085235,130215,128020,130017,8.614%
bfs_pointer,32:32:32,297361,132180,76933,33192,1096,2616,2522,3.371%
conv2D,32:32:32,3325479,1220578,833940,305293,1637,5452,5003,0.622%
fir,32:32:32,27163089,15053144,6793348,3763456,18862,51581,51437,0.667%
kmean,32:32:32,39450765,8338606,9865279,2084826,173909,14773,14870,1.579%
mm,32:32:32,8399467,4416818,2102419,1104347,63628,9199,9322,2.271%
quicksort,32:32:32,12497859,12511653,3128446,3131433,34029,31800,52535,1.052%
sobel,32:32:32,5781465,2145012,1818292,538346,5213,17377,16830,0.959%
bfs_matrix,64:32:32,7639783,4340310,1912534,1085235,129093,127549,128978,8.561%
bfs_pointer,64:32:32,297361,132180,76933,33192,578,2536,1452,2.828%
conv2D,64:32:32,3325479,1220578,833940,305293,1122,5222,3944,0.557%
fir,64:32:32,27163089,15053144,6793348,3763456,17420,50872,49993,0.647%
kmean,64:32:32,39450765,8338606,9865279,2084826,141090,14391,13976,1.301%
mm,64:32:32,8399467,4416818,2102419,1104347,6404,8069,7724,0.451%
quicksort,64:32:32,12497859,12511653,3128446,3131433,19950,25436,38120,0.725%
sobel,64:32:32,5781465,2145012,1818292,538346,4500,16420,15225,0.888%
bfs_matrix,128:32:32,7639783,4340310,1912534,1085235,128220,127316,128360,8.524%
bfs_pointer,128:32:32,297361,132180,76933,33192,325,2502,721,2.567%
conv2D,128:32:32,3325479,1220578,833940,305293,670,5126,2560,0.509%
fir,128:32:32,27163089,15053144,6793348,3763456,16291,50428,48325,0.632%
kmean,128:32:32,39450765,8338606,9865279,2084826,19283,13517,12683,0.274%
mm,128:32:32,8399467,4416818,2102419,1104347,2390,7690,5485,0.314%
quicksort,128:32:32,12497859,12511653,3128446,3131433,9890,21664,25913,0.504%
sobel,128:32:32,5781465,2145012,1818292,538346,2622,14520,11605,0.727%
bfs_matrix,256:32:32,7639783,4340310,1912534,1085235,127128,127166,127922,8.483%
bfs_pointer,256:32:32,297361,132180,76933,33192,196,2479,374,2.429%
conv2D,256:32:32,3325479,1220578,833940,305293,346,5083,1376,0.477%
fir,256:32:32,27163089,15053144,6793348,3763456,13974,49461,44850,0.601%
kmean,256:32:32,39450765,8338606,9865279,2084826,4717,12436,8446,0.144%
mm,256:32:32,8399467,4416818,2102419,1104347,1570,7551,3262,0.284%
quicksort,256:32:32,12497859,12511653,3128446,3131433,4182,19989,16008,0.386%
sobel,256:32:32,5781465,2145012,1818292,538346,1138,12801,6790,0.591%
bfs_matrix,512:32:32,7639783,4340310,1912534,1085235,124795,127083,127560,8.402%
bfs_pointer,512:32:32,297361,132180,76933,33192,72,2472,111,2.310%
conv2D,512:32:32,3325479,1220578,833940,305293,192,5060,704,0.461%
fir,512:32:32,27163089,15053144,6793348,3763456,8344,45884,34348,0.514%
kmean,512:32:32,39450765,8338606,9865279,2084826,1455,11291,3506,0.107%
mm,512:32:32,8399467,4416818,2102419,1104347,660,7490,1574,0.254%
quicksort,512:32:32,12497859,12511653,3128446,3131433,1969,19496,9322,0.343%
sobel,512:32:32,5781465,2145012,1818292,538346,484,11795,3432,0.521%
bfs_matrix,1024:32:32,7639783,4340310,1912534,1085235,117403,127006,126440,8.153%
bfs_pointer,1024:32:32,297361,132180,76933,33192,64,2465,52,2.296%
conv2D,1024:32:32,3325479,1220578,833940,305293,124,5038,343,0.453%
fir,1024:32:32,27163089,15053144,6793348,3763456,3429,41191,19139,0.423%
kmean,1024:32:32,39450765,8338606,9865279,2084826,498,10922,1569,0.096%
mm,1024:32:32,8399467,4416818,2102419,1104347,355,7483,836,0.244%
quicksort,1024:32:32,12497859,12511653,3128446,3131433,891,19332,5054,0.323%
sobel,1024:32:32,5781465,2145012,1818292,538346,237,11311,1751,0.490%
bfs_matrix,2048:32:32,7639783,4340310,1912534,1085235,95054,126968,113862,7.406%
bfs_pointer,2048:32:32,297361,132180,76933,33192,46,2465,15,2.280%
conv2D,2048:32:32,3325479,1220578,833940,305293,64,5026,125,0.447%
fir,2048:32:32,27163089,15053144,6793348,3763456,1428,37634,9107,0.370%
kmean,2048:32:32,39450765,8338606,9865279,2084826,207,10646,708,0.091%
mm,2048:32:32,8399467,4416818,2102419,1104347,150,7459,317,0.237%
quicksort,2048:32:32,12497859,12511653,3128446,3131433,382,19266,2470,0.314%
sobel,2048:32:32,5781465,2145012,1818292,538346,116,10975,769,0.471%
