length, N^3, ijk, kij, jki
10, 1000, 5284, 4050, 5381
20, 8000, 15217, 19034, 17340
30, 27000, 43663, 53796, 49960
40, 64000, 100732, 119861, 111619
50, 125000, 192121, 227800, 200045
60, 216000, 324964, 394400, 340687
70, 343000, 567167, 619857, 602421
80, 512000, 909835, 919190, 970245
90, 729000, 1186555, 1318335, 1286085
100, 1000000, 1579681, 1815746, 1744818
110, 1331000, 2136210, 2413851, 2319694
120, 1728000, 2882359, 3108802, 3303225
130, 2197000, 3457769, 4093038, 3858577
140, 2744000, 4276744, 5071610, 4728307
150, 3375000, 5302704, 6252296, 5798857
160, 4096000, 11490911, 7470942, 22987394
170, 4913000, 7721898, 9210799, 9169690
180, 5832000, 9398768, 10671170, 10297533
190, 6859000, 10807688, 12589167, 11903918
200, 8000000, 13105552, 14537738, 15526771
210, 9261000, 14342536, 17344849, 16822395
220, 10648000, 16542392, 19974677, 19534285
230, 12167000, 19176908, 22277910, 22100388
240, 13824000, 24122411, 25390997, 55741176
250, 15625000, 25396527, 28907379, 32864294
260, 17576000, 28281413, 33058371, 71357478
270, 19683000, 30447445, 37128806, 105199601
280, 21952000, 35852105, 41350446, 145389298
290, 24389000, 39724944, 47346316, 188063109
300, 27000000, 42685454, 50986767, 233534259
310, 29791000, 46848659, 57543232, 258006129
320, 32768000, 94517156, 61933619, 262509076
330, 35937000, 58034990, 69259634, 328656092
340, 39304000, 62026784, 76093826, 361414706
350, 42875000, 68251092, 79656715, 394884773
360, 46656000, 82042128, 92030360, 439317993
370, 50653000, 121463109, 98478447, 493929859
380, 54872000, 163719772, 104870181, 540619709
390, 59319000, 246048314, 116617404, 597441461
400, 64000000, 294222308, 122010455, 623547716